what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266317950865
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266317951174
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266317952424
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266317958327
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266317959351
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1266317965384
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266317970094
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1266317995415
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1266317998957
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266318000161
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1266318003614
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266318033020
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1266318042045
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1266318044930
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266318048317
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266318049370
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266318082049
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266318088053
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266318091057
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266318100773
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266318101884
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266318119108
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266318119940
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266318140923
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266318141711
