what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266253719317
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266253730733
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266253731530
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266253743214
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266253744517
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266253749339
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266253749590
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266253775239
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266253776038
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1266253780262
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1266253805271
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.text.contentAssist.proposals",1266253813904
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266253820596
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266253822269
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266253823211
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266253829441
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266253829624
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266253831237
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266253832719
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1266253879432
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266254021056
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266254021286
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266254023097
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266254023257
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266254030172
