what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266316338602
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266316339543
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266316355935
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266316356187
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266316361630
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266316362677
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266316373535
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266316373775
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1266316378959
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1266316382335
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266316386271
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266316387198
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266316410167
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266316412631
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.rename.element",1266316430210
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266316430257
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266316431657
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1266316465389
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266316466709
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266316467006
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1266316473148
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266316473192
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266316473194
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1266316493783
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.undo",1266316494102
