what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266250338791
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266250340624
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266250353804
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266250358500
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266250358539
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266250371958
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266250372070
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1266250384963
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1266250392540
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266250436864
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266250437105
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1266250464831
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1266250464983
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266250479199
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266250480130
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266250485150
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266250486079
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266250492632
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266250493587
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1266250498769
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266250515694
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266250515929
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1266250523994
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1266250524242
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1266250545383
